,label
1029,3
1030,3
1031,1
1032,2
1033,6
1034,6
1035,9
1036,2
1037,0
1038,3
1039,6
1040,4
1041,6
1042,4
1043,1
1044,3
1045,5
1046,5
1047,2
1048,9
1049,4
1050,0
1051,5
1052,6
1053,9
1054,4
1055,9
1056,1
1057,9
1058,4
1059,2
1060,9
1061,2
1062,5
1063,7
1064,1
1065,9
1066,0
1067,9
1068,4
1069,1
1070,7
1071,8
1072,1
1073,3
1074,0
1075,1
1076,2
1077,4
1078,3
1079,3
1080,9
1081,6
1082,9
1083,4
1084,2
1085,6
1086,8
1087,3
1088,3
1089,8
1090,1
1091,0
1092,7
1093,1
1094,2
1095,9
1096,9
1097,2
1098,6
1099,7
1100,9
1101,1
1102,3
1103,9
1104,1
1105,9
1106,1
1107,4
1108,7
1109,0
1110,6
1111,9
1112,2
1113,1
1114,6
1115,1
1116,4
1117,2
1118,4
1119,3
1120,2
1121,9
1122,3
1123,8
1124,8
1125,8
1126,8
1127,5
1128,7
1129,7
1130,9
1131,4
1132,2
1133,0
1134,0
1135,2
1136,0
1137,7
1138,6
1139,1
1140,1
1141,7
1142,2
1143,6
1144,4
1145,6
1146,6
1147,1
1148,3
1149,9
1150,9
1151,5
1152,5
1153,6
1154,7
1155,7
1156,5
1157,1
1158,1
1159,9
1160,3
1161,5
1162,9
1163,6
1164,5
1165,2
1166,9
1167,3
1168,6
1169,4
1170,5
1171,9
1172,3
1173,2
1174,9
1175,3
1176,8
1177,7
1178,9
1179,5
1180,9
1181,5
1182,5
1183,4
1184,3
1185,3
1186,9
1187,9
1188,7
1189,0
1190,6
1191,3
1192,9
1193,8
1194,7
1195,0
1196,2
1197,9
1198,1
1199,9
1200,2
1201,8
1202,7
1203,5
1204,2
1205,0
1206,0
1207,2
1208,8
1209,4
1210,8
1211,0
1212,8
1213,0
1214,5
1215,7
1216,0
1217,3
1218,9
1219,7
1220,3
1221,4
1222,2
1223,9
1224,9
1225,3
1226,1
1227,4
1228,9
1229,7
1230,3
1231,0
1232,0
1233,0
1234,9
1235,7
1236,2
1237,5
1238,9
1239,1
1240,3
1241,4
1242,7
1243,5
1244,0
1245,8
1246,2
1247,8
1248,8
1249,3
1250,4
1251,4
1252,6
1253,5
1254,3
1255,8
1256,6
1257,3
1258,1
1259,0
1260,0
1261,0
1262,3
1263,6
1264,0
1265,1
1266,2
1267,0
1268,9
1269,2
1270,1
1271,9
1272,1
1273,5
1274,4
1275,2
1276,6
1277,4
1278,9
1279,9
1280,3
1281,7
1282,1
1283,9
1284,1
1285,6
1286,1
1287,3
1288,4
1289,6
1290,7
1291,2
1292,8
1293,4
1294,6
1295,0
1296,4
1297,3
1298,5
1299,5
1300,1
1301,4
1302,2
1303,3
1304,7
1305,2
1306,5
1307,4
1308,0
1309,2
1310,2
1311,6
1312,2
1313,7
1314,9
1315,6
1316,5
1317,2
1318,7
1319,2
1320,2
1321,9
1322,5
1323,1
1324,6
1325,2
1326,7
1327,2
1328,7
1329,1
1330,3
1331,5
1332,0
1333,2
1334,8
1335,0
1336,6
1337,0
1338,7
1339,1
1340,2
1341,3
1342,8
1343,1
1344,5
1345,2
1346,2
1347,4
1348,1
1349,6
1350,2
1351,8
1352,7
1353,6
1354,7
1355,8
1356,3
1357,2
1358,1
1359,4
1360,8
1361,2
1362,5
1363,9
1364,8
1365,8
1366,5
1367,8
1368,1
1369,2
1370,6
1371,0
1372,1
1373,3
1374,7
1375,8
1376,5
1377,6
1378,5
1379,8
1380,2
1381,9
1382,7
1383,2
1384,9
1385,3
1386,4
1387,4
1388,3
1389,9
1390,7
1391,3
1392,7
1393,9
1394,8
1395,0
1396,9
1397,6
1398,3
1399,6
1400,1
1401,6
1402,1
1403,1
1404,4
1405,7
1406,8
1407,1
1408,3
1409,1
1410,9
1411,8
1412,2
1413,7
1414,0
1415,5
1416,9
1417,5
1418,7
1419,0
1420,2
1421,9
1422,9
1423,7
1424,1
1425,5
1426,3
1427,6
1428,1
1429,1
1430,2
1431,9
1432,0
1433,8
1434,8
1435,2
1436,8
1437,0
1438,0
1439,7
1440,0
1441,8
1442,3
1443,1
1444,2
1445,5
1446,3
1447,8
1448,5
1449,2
1450,2
1451,4
1452,1
1453,4
1454,0
1455,5
1456,0
1457,7
1458,5
1459,5
1460,6
1461,3
1462,5
1463,2
1464,8
1465,2
1466,8
1467,5
1468,8
1469,9
1470,1
1471,2
1472,9
1473,3
1474,6
1475,9
1476,7
1477,0
1478,6
1479,3
1480,2
1481,6
1482,6
1483,4
1484,0
1485,0
1486,2
1487,4
1488,6
1489,7
1490,0
1491,2
1492,2
1493,0
1494,8
1495,8
1496,1
1497,8
1498,5
1499,6
1500,4
1501,3
1502,1
1503,9
1504,0
1505,3
1506,8
1507,5
1508,6
1509,4
1510,4
1511,4
1512,4
1513,7
1514,1
1515,0
1516,2
1517,8
1518,7
1519,3
1520,8
1521,0
1522,3
1523,8
1524,9
1525,6
1526,4
1527,7
1528,7
1529,0
1530,9
1531,3
1532,3
1533,8
1534,8
1535,4
1536,5
1537,1
1538,7
1539,9
1540,9
1541,8
1542,9
1543,2
1544,1
1545,9
1546,1
1547,8
1548,3
1549,2
1550,8
1551,8
1552,0
1553,0
1554,1
1555,6
1556,8
1557,7
1558,7
1559,3
1560,5
1561,7
1562,5
1563,0
1564,0
1565,0
1566,2
1567,4
1568,3
1569,3
1570,3
1571,6
1572,8
1573,1
1574,9
1575,4
1576,9
1577,4
1578,9
1579,5
1580,9
1581,9
1582,5
1583,5
1584,4
1585,5
1586,5
1587,8
1588,7
1589,4
1590,8
1591,2
1592,7
1593,8
1594,8
1595,8
1596,4
1597,5
1598,0
1599,6
1600,2
1601,0
1602,1
1603,1
1604,9
1605,4
1606,8
1607,4
1608,0
1609,7
1610,0
1611,8
1612,0
1613,5
1614,4
1615,6
1616,0
1617,6
1618,5
1619,8
1620,0
1621,4
1622,1
1623,1
1624,6
1625,7
1626,8
1627,2
1628,5
1629,3
1630,7
1631,7
1632,4
1633,9
1634,2
1635,0
1636,1
1637,6
1638,0
1639,4
1640,0
1641,8
1642,5
1643,4
1644,6
1645,5
1646,3
1647,6
1648,2
1649,8
1650,1
1651,1
1652,3
1653,5
1654,2
1655,9
1656,5
1657,3
1658,9
1659,9
1660,0
1661,3
1662,2
1663,7
1664,4
1665,3
1666,7
1667,8
1668,5
1669,8
1670,6
1671,8
1672,3
1673,4
1674,3
1675,7
1676,0
1677,4
1678,9
1679,8
1680,4
1681,2
1682,1
1683,8
1684,2
1685,1
1686,7
1687,0
1688,0
1689,0
1690,0
1691,0
1692,2
1693,2
1694,0
1695,9
1696,8
1697,3
1698,4
1699,5
1700,0
1701,3
1702,8
1703,7
1704,2
1705,8
1706,0
1707,3
1708,4
1709,9
1710,2
1711,0
1712,4
1713,7
1714,2
1715,6
1716,8
1717,7
1718,3
1719,0
1720,3
1721,7
1722,2
1723,5
1724,8
1725,9
1726,4
1727,6
1728,5
1729,9
1730,6
1731,0
1732,4
1733,8
1734,9
1735,0
1736,8
1737,9
1738,1
1739,4
1740,6
1741,4
1742,0
1743,7
1744,0
1745,9
1746,9
1747,9
1748,0
1749,2
1750,8
1751,9
1752,0
1753,2
1754,4
1755,0
1756,5
1757,3
1758,6
1759,0
1760,2
1761,3
1762,7
1763,1
1764,6
1765,2
1766,9
1767,1
1768,0
1769,3
1770,5
1771,4
1772,3
1773,9
1774,6
1775,3
1776,3
1777,8
1778,8
1779,4
1780,5
1781,8
1782,7
1783,9
1784,4
1785,1
1786,4
1787,3
1788,1
1789,3
1790,6
1791,7
1792,8
1793,4
1794,6
1795,3
1796,9
1797,0
1798,3
1799,2
1800,3
1801,3
1802,6
1803,8
1804,9
1805,3
1806,4
1807,8
1808,6
1809,3
1810,1
1811,0
1812,0
1813,9
1814,3
1815,3
1816,0
1817,8
1818,0
1819,2
1820,5
1821,3
1822,5
1823,6
1824,5
1825,7
1826,6
1827,8
1828,6
1829,5
1830,1
1831,9
1832,3
1833,3
1834,6
1835,2
1836,3
1837,4
1838,1
1839,5
1840,0
1841,3
1842,8
1843,7
1844,2
1845,1
1846,8
1847,2
1848,1
1849,2
1850,9
1851,7
1852,7
1853,8
1854,1
1855,7
1856,6
1857,3
1858,9
1859,0
1860,6
1861,1
1862,0
1863,6
1864,0
1865,1
1866,7
1867,0
1868,2
1869,1
1870,5
1871,8
1872,6
1873,0
1874,1
1875,1
1876,7
1877,0
1878,6
1879,5
1880,3
1881,8
1882,6
1883,6
1884,1
1885,8
1886,1
1887,4
1888,0
1889,2
1890,3
1891,2
1892,8
1893,7
1894,1
1895,0
1896,1
1897,1
1898,5
1899,1
1900,1
1901,1
1902,7
1903,2
1904,0
1905,1
1906,6
1907,1
1908,5
1909,5
1910,5
1911,1
1912,4
1913,7
1914,6
1915,2
1916,0
1917,9
1918,7
1919,9
1920,3
1921,4
1922,8
1923,7
1924,7
1925,1
1926,5
1927,1
1928,5
1929,2
1930,3
1931,1
1932,9
1933,4
1934,9
1935,8
1936,2
1937,1
1938,8
1939,9
1940,3
1941,8
1942,0
1943,6
1944,7
1945,3
1946,9
1947,5
1948,2
1949,0
1950,4
1951,1
1952,2
1953,1
1954,8
1955,6
1956,5
1957,4
1958,5
1959,0
1960,8
1961,8
1962,0
1963,6
1964,1
1965,3
1966,7
1967,0
1968,3
1969,7
1970,0
1971,8
1972,6
1973,8
1974,7
1975,6
1976,5
1977,6
1978,8
1979,8
1980,6
1981,0
1982,7
1983,2
1984,6
1985,6
1986,7
1987,3
1988,4
1989,7
1990,1
1991,6
1992,4
1993,2
1994,3
1995,9
1996,2
1997,2
1998,2
1999,7
2000,5
2001,7
2002,7
2003,8
2004,7
2005,2
2006,7
2007,4
2008,4
2009,7
2010,1
2011,4
2012,6
2013,0
2014,5
2015,7
2016,7
2017,7
2018,5
2019,8
2020,1
2021,4
2022,4
2023,7
2024,7
2025,0
2026,5
2027,2
2028,0
2029,0
2030,8
2031,4
2032,4
2033,8
2034,5
2035,2
2036,1
2037,9
2038,8
2039,1
2040,1
2041,3
2042,9
2043,2
2044,5
2045,4
2046,8
2047,2
2048,5
2049,8
2050,0
2051,2
2052,4
2053,7
2054,0
2055,5
2056,6
2057,9
2058,5
2059,7
2060,3
2061,4
2062,1
2063,6
2064,6
2065,9
2066,3
2067,9
2068,4
2069,1
2070,8
2071,9
2072,0
2073,8
2074,4
2075,0
2076,1
2077,9
2078,0
2079,0
2080,3
2081,9
2082,0
2083,4
2084,7
2085,1
2086,0
2087,0
2088,9
2089,4
2090,3
2091,6
2092,9
2093,5
2094,8
2095,3
2096,0
2097,6
2098,0
2099,0
2100,7
2101,0
2102,9
2103,7
2104,3
2105,6
2106,1
2107,8
2108,0
2109,2
2110,3
2111,3
2112,7
2113,6
2114,9
2115,1
2116,6
2117,3
2118,0
2119,5
2120,7
2121,3
2122,4
2123,7
2124,4
2125,9
2126,5
2127,0
2128,2
2129,4
2130,2
2131,1
2132,8
2133,3
2134,2
2135,2
2136,6
2137,2
2138,1
2139,8
2140,3
2141,0
2142,0
2143,0
2144,2
2145,9
2146,9
2147,5
2148,0
2149,8
2150,3
2151,7
2152,7
2153,9
2154,3
2155,9
2156,4
2157,8
2158,8
2159,7
2160,0
2161,6
2162,6
2163,0
2164,2
2165,4
2166,7
2167,8
2168,9
2169,6
2170,9
2171,8
2172,3
2173,8
2174,7
2175,0
2176,2
2177,5
2178,5
2179,1
2180,9
2181,1
2182,7
2183,3
2184,6
2185,5
2186,0
2187,6
2188,4
2189,2
2190,6
2191,2
2192,6
2193,7
2194,4
2195,6
2196,1
2197,1
2198,4
2199,0
2200,5
2201,3
2202,2
2203,9
2204,6
2205,1
2206,9
2207,9
2208,2
2209,1
2210,8
2211,3
2212,7
2213,9
2214,4
2215,5
2216,0
2217,3
2218,5
2219,1
2220,2
2221,9
2222,0
2223,6
2224,7
2225,2
2226,6
2227,8
2228,1
2229,5
2230,2
2231,6
2232,8
2233,6
2234,2
2235,1
2236,6
2237,1
2238,3
2239,8
2240,9
2241,6
2242,7
2243,2
2244,3
2245,6
2246,1
2247,8
2248,8
2249,0
2250,2
2251,7
2252,3
2253,7
2254,6
2255,9
2256,9
2257,6
2258,6
2259,2
2260,7
2261,2
2262,8
2263,7
2264,2
2265,2
2266,7
2267,2
2268,9
2269,4
2270,3
2271,0
2272,3
2273,2
2274,5
2275,8
2276,2
2277,0
2278,9
2279,4
2280,2
2281,2
2282,8
2283,0
2284,2
2285,0
2286,5
2287,3
2288,4
2289,0
2290,2
2291,0
2292,8
2293,9
2294,7
2295,5
2296,7
2297,9
2298,5
2299,4
2300,4
2301,3
2302,4
2303,4
2304,8
2305,9
2306,7
2307,8
2308,6
2309,6
2310,3
2311,6
2312,2
2313,2
2314,2
2315,4
2316,5
2317,3
2318,2
2319,9
2320,8
2321,5
2322,8
2323,5
2324,6
2325,2
2326,6
2327,9
2328,5
2329,8
2330,5
2331,7
2332,9
2333,5
2334,2
2335,6
2336,9
2337,3
2338,7
2339,3
2340,9
2341,5
2342,7
2343,6
2344,5
2345,6
2346,4
2347,2
2348,8
2349,1
2350,4
2351,1
2352,1
2353,7
2354,6
2355,6
2356,0
2357,9
2358,8
2359,6
2360,9
2361,3
2362,7
2363,3
2364,4
2365,7
2366,7
2367,7
2368,0
2369,5
2370,2
2371,3
2372,8
2373,3
2374,6
2375,1
2376,8
2377,2
2378,6
2379,4
2380,8
2381,1
2382,1
2383,6
2384,4
2385,1
2386,2
2387,5
2388,6
2389,3
2390,1
2391,0
2392,0
2393,8
2394,9
2395,9
2396,2
2397,0
2398,0
2399,2
2400,4
2401,5
2402,1
2403,2
2404,8
2405,4
2406,0
2407,5
2408,7
2409,5
2410,7
2411,5
2412,3
2413,4
2414,4
2415,0
2416,1
2417,7
2418,2
2419,6
2420,2
2421,8
2422,5
2423,5
2424,1
2425,7
2426,0
2427,4
2428,2
2429,2
2430,4
2431,9
2432,1
2433,4
2434,1
2435,0
2436,5
2437,7
2438,8
2439,8
2440,1
2441,8
2442,4
2443,7
2444,5
2445,2
2446,9
2447,6
2448,4
2449,1
2450,8
2451,5
2452,9
2453,1
2454,7
2455,2
2456,7
2457,4
2458,6
2459,0
2460,5
2461,6
2462,2
2463,1
2464,5
2465,8
2466,5
2467,2
2468,0
2469,4
2470,5
2471,8
2472,0
2473,5
2474,8
2475,4
2476,9
2477,5
2478,9
2479,5
2480,0
2481,5
2482,2
2483,6
2484,4
2485,8
2486,7
2487,1
2488,0
2489,2
2490,3
2491,8
2492,9
2493,1
2494,8
2495,8
2496,4
2497,3
2498,2
2499,7
2500,9
2501,7
2502,7
2503,7
2504,0
2505,9
2506,1
2507,9
2508,0
2509,5
2510,9
2511,2
2512,4
2513,3
2514,1
2515,6
2516,5
2517,9
2518,1
2519,1
2520,8
2521,9
2522,5
2523,6
2524,1
2525,3
2526,6
2527,9
2528,2
2529,5
2530,1
2531,9
2532,6
2533,9
2534,5
2535,3
2536,0
2537,8
2538,6
2539,4
2540,9
2541,4
2542,8
2543,6
2544,8
2545,2
2546,5
2547,7
2548,3
2549,8
2550,6
2551,8
2552,5
2553,8
2554,5
2555,5
2556,5
2557,4
2558,2
2559,9
2560,3
2561,0
2562,3
2563,0
2564,6
2565,3
2566,1
2567,2
2568,5
2569,0
2570,4
2571,1
2572,2
2573,2
2574,6
2575,0
2576,4
2577,1
2578,3
2579,1
2580,5
2581,9
2582,4
2583,1
2584,5
2585,0
2586,0
2587,8
2588,8
2589,8
2590,3
2591,3
2592,4
2593,5
2594,6
2595,2
2596,0
2597,8
2598,0
2599,8
2600,9
2601,2
2602,0
2603,6
2604,6
2605,3
2606,2
2607,1
2608,5
2609,5
2610,5
2611,1
2612,8
2613,4
2614,6
2615,6
2616,2
2617,2
2618,9
2619,2
2620,1
2621,5
2622,3
2623,8
2624,0
2625,4
2626,2
2627,3
2628,4
2629,6
2630,5
2631,4
2632,0
2633,9
2634,0
2635,1
2636,4
2637,8
2638,2
2639,5
2640,4
2641,6
2642,9
2643,8
2644,9
2645,9
2646,9
2647,9
2648,2
2649,5
2650,0
2651,4
2652,1
2653,2
2654,3
2655,3
2656,5
2657,6
2658,5
2659,8
2660,2
2661,0
2662,1
2663,4
2664,2
2665,2
2666,3
2667,3
2668,1
2669,1
2670,6
2671,6
2672,6
2673,1
2674,3
2675,0
2676,5
2677,0
2678,2
2679,9
2680,9
2681,8
2682,6
2683,3
2684,6
2685,6
2686,4
2687,1
2688,1
2689,1
2690,7
2691,9
2692,9
2693,3
2694,6
2695,3
2696,8
2697,6
2698,8
2699,5
2700,5
2701,2
2702,2
2703,4
2704,7
2705,7
2706,6
2707,8
2708,7
2709,6
2710,5
2711,1
2712,5
2713,3
2714,6
2715,5
2716,8
2717,1
2718,1
2719,8
2720,1
2721,0
2722,7
2723,3
2724,0
2725,0
2726,6
2727,5
2728,9
2729,2
2730,3
2731,7
2732,9
2733,2
2734,7
2735,3
2736,5
2737,6
2738,0
2739,1
2740,3
2741,6
2742,9
2743,5
2744,0
2745,2
2746,1
2747,3
2748,7
2749,8
2750,4
2751,4
2752,2
2753,5
2754,3
2755,0
2756,0
2757,2
2758,9
2759,1
2760,7
2761,7
2762,7
2763,1
2764,0
2765,3
2766,8
2767,9
2768,6
2769,6
2770,7
2771,2
2772,1
2773,0
2774,5
2775,1
2776,1
2777,1
2778,1
2779,0
2780,6
2781,6
2782,4
2783,9
2784,9
2785,3
2786,4
2787,2
2788,5
2789,6
2790,8
2791,4
2792,6
2793,9
2794,9
2795,5
2796,5
2797,5
2798,7
2799,1
2800,4
2801,1
2802,2
2803,5
2804,0
2805,4
2806,0
2807,7
2808,8
2809,9
2810,5
2811,3
2812,7
2813,2
2814,0
2815,5
2816,3
2817,4
2818,2
2819,1
2820,1
2821,1
2822,1
2823,8
2824,6
2825,8
2826,9
2827,8
2828,1
2829,0
2830,2
2831,8
2832,5
2833,7
2834,7
2835,4
2836,1
2837,8
2838,4
2839,9
2840,8
2841,8
2842,6
2843,1
2844,9
2845,8
2846,7
2847,7
2848,5
2849,7
2850,5
2851,9
2852,3
2853,4
2854,7
2855,3
2856,2
2857,1
2858,8
2859,5
2860,7
2861,1
2862,0
2863,1
2864,4
2865,1
2866,5
2867,6
2868,0
2869,6
2870,9
2871,7
2872,1
2873,5
2874,5
2875,0
2876,3
2877,9
2878,4
2879,6
2880,6
2881,9
2882,7
2883,5
2884,7
2885,3
2886,7
2887,3
2888,4
2889,5
2890,4
2891,7
2892,5
2893,1
2894,3
2895,8
2896,6
2897,3
2898,9
2899,8
2900,7
2901,9
2902,5
2903,0
2904,2
2905,1
2906,9
2907,4
2908,6
2909,9
2910,5
2911,5
2912,9
2913,7
2914,7
2915,9
2916,2
2917,5
2918,8
2919,2
2920,3
2921,5
2922,4
2923,4
2924,6
2925,2
2926,0
2927,3
2928,0
2929,4
2930,9
2931,5
2932,4
2933,1
2934,1
2935,3
2936,0
2937,9
2938,0
2939,4
2940,3
2941,8
2942,9
2943,4
2944,0
2945,0
2946,8
2947,8
2948,5
2949,0
2950,9
2951,8
2952,4
2953,3
2954,2
2955,8
2956,2
2957,9
2958,2
2959,0
2960,8
2961,3
2962,2
2963,8
2964,2
2965,3
2966,3
2967,6
2968,0
2969,3
2970,1
2971,6
2972,9
2973,4
2974,3
2975,8
2976,4
2977,3
2978,3
2979,2
2980,8
2981,5
2982,5
2983,2
2984,7
2985,3
2986,0
2987,2
2988,8
2989,4
2990,7
2991,2
2992,3
2993,5
2994,2
2995,2
2996,8
2997,2
